Player_ID,Team_ID,First_Name,Last_Name,Date_of_Birth,Year_of_Birth,Age,Position,Height_cm,Weight_kg,Jersey_Number,Address,Pos,X,Y
P001,T001,Pedro,Lima,28/10/2009,2009,16,Midfielder,183,66,1,"Rua do Porto, 170, Porto",DM-Sub,,
P002,T001,Ángel,Alarcón,3/5/2007,2007,18,Defender,168,72,2,"Rua do Porto, 163, Porto",CB-Sub,,
P003,T001,William,Gomes,12/3/2008,2008,17,Midfielder,171,68,3,"Rua do Porto, 156, Porto",DM-Sub,,
P004,T001,João,Moreira,18/03/2009,2009,16,Defender,170,74,4,"Rua do Porto, 164, Porto",RB,20,12
P005,T001,Tiago,Silva,8/9/2009,2009,16,Midfielder,166,67,5,"Rua do Porto, 103, Porto",RCM,50,30
P006,T001,Bernardo,Lima,7/2/2008,2008,17,Midfielder,171,80,6,"Rua do Porto, 165, Porto",DM-Sub,,
P007,T001,Yann,Karamoh,9/3/2008,2008,17,Defender,172,77,7,"Rua do Porto, 192, Porto",LW,75,65
P008,T001,Deniz,Gül,19/07/2009,2009,16,Forward,176,67,8,"Rua do Porto, 127, Porto",ST,85,40
P009,T001,Diogo,Costa,28/01/2007,2007,18,Goalkeeper,169,80,9,"Rua do Porto, 153, Porto",GK,5,40
P010,T001,João,Teixeira,13/07/2007,2007,18,Forward,181,68,10,"Rua do Porto, 175, Porto",RW,75,15
P011,T001,Martim,Cunha,22/02/2009,2009,16,Midfielder,185,70,11,"Rua do Porto, 112, Porto",DM-Sub,,
P012,T001,Pablo,Rosario,1/8/2007,2007,18,Midfielder,181,65,12,"Rua do Porto, 161, Porto",LCM,50,50
P013,T001,Leonardo,Vonić,17/11/2008,2008,17,Defender,169,71,13,"Rua do Porto, 200, Porto",LCB,22,52
P014,T001,Jakub,Kiwior,20/01/2009,2009,16,Midfielder,180,60,14,"Rua do Porto, 79, Porto",RCB,22,28
P015,T001,Trofim,Melnichenko,8/1/2007,2007,18,Goalkeeper,167,75,15,"Rua do Porto, 197, Porto",GK-Sub,,
P016,T001,Alberto,Costa,22/03/2007,2007,18,Forward,182,65,16,"Rua do Porto, 156, Porto",W-Sub,,
P017,T001,Gabriel,Brás,18/04/2008,2008,17,Defender,174,72,17,"Rua do Porto, 113, Porto",CB-Sub,,
P018,T001,Kotaro,Nagata,4/8/2009,2009,16,Defender,172,62,18,"Rua do Porto, 151, Porto",CB-Sub,,
P019,T001,Stephen,Eustaquio,19/04/2009,2009,16,Defender,165,62,19,"Rua do Porto, 59, Porto",CDM,40,40
P020,T001,Felipe,Silva,28/01/2007,2007,18,Midfielder,167,76,20,"Rua do Porto, 172, Porto",DM-Sub,,
P021,T001,Anhá,Cande,18/04/2008,2008,17,Defender,183,78,21,"Rua do Porto, 122, Porto",LW-Sub,,
P022,T001,Kaio,Henrique,4/4/2008,2008,17,Goalkeeper,178,71,22,"Rua do Porto, 120, Porto",LB,20,68
P023,T001,Dominik,Prpić,22/01/2009,2009,16,Goalkeeper,166,72,23,"Rua do Porto, 64, Porto",GK-Sub,,
P024,T001,Gil,Martins,18/04/2007,2007,18,Forward,169,73,24,"Rua do Porto, 119, Porto",W-Sub,,
P025,T002,Luuk de,Jong,15/02/1997,1997,28,Goalkeeper,171,85,1,"Rua do Porto, 24, Porto",ST,85,40
P026,T002,Tiago,Andrade,14/03/1997,1997,28,Forward,185,71,2,"Rua do Porto, 43, Porto",LW,75,65
P027,T002,Gonçalo,Ribeiro,13/01/2002,2002,23,Midfielder,184,74,3,"Rua do Porto, 170, Porto",DM-Sub,,
P028,T002,Victor,Froholdt,7/3/2005,2005,20,Midfielder,176,66,4,"Rua do Porto, 16, Porto",DM-Sub,,
P029,T002,Brayan,Caicedo,2/1/2000,2000,25,Forward,186,81,5,"Rua do Porto, 131, Porto",W-Sub,,
P030,T002,Gabri,Veiga,3/3/1992,1992,33,Goalkeeper,177,77,6,"Rua do Porto, 64, Porto",RCM,50,30
P031,T002,Kauê,,3/10/1991,1991,34,Forward,188,83,7,"Rua do Porto, 67, Porto",W-Sub,,
P032,T002,André,Miranda,23/11/1996,1996,29,Midfielder,177,73,8,"Rua do Porto, 172, Porto",DM-Sub,,
P033,T002,Jan,Bednarek,11/8/1999,1999,26,Goalkeeper,170,79,9,"Rua do Porto, 26, Porto",RCB,22,28
P034,T002,Gonçalo,Sousa,7/9/1992,1992,33,Midfielder,174,76,10,"Rua do Porto, 95, Porto",DM-Sub,,
P035,T002,Dinis,,15/03/1999,1999,26,Midfielder,189,90,11,"Rua do Porto, 3, Porto",DM-Sub,,
P036,T002,João,Costa,4/11/1999,1999,26,Defender,178,68,12,"Rua do Porto, 40, Porto",RB,20,12
P037,T002,Zaidu,,20/05/1998,1998,27,Defender,180,71,13,"Rua do Porto, 130, Porto",LB,20,68
P038,T002,Leonardo,Fajardo,28/05/2005,2005,20,Goalkeeper,172,85,14,"Rua do Porto, 12, Porto",GK-Sub,,
P039,T002,Borja,Sainz,25/06/1990,1990,35,Defender,190,73,15,"Rua do Porto, 142, Porto",RW,75,15
P040,T002,Filipe,Sousa,1/9/2003,2003,22,Goalkeeper,172,87,16,"Rua do Porto, 10, Porto",GK-Sub,,
P041,T002,Alan,Varela,18/10/2001,2001,24,Defender,183,69,17,"Rua do Porto, 94, Porto",CDM,40,40
P042,T002,Samu,Aghehowa,7/6/1991,1991,34,Defender,173,76,18,"Rua do Porto, 159, Porto",CB-Sub,,
P043,T002,Gonçalo,Silva,28/04/1994,1994,31,Defender,175,78,19,"Rua do Porto, 189, Porto",CB-Sub,,
P044,T002,Rui,Monteiro,26/07/2000,2000,25,Defender,178,70,20,"Rua do Porto, 10, Porto",CB-Sub,,
P045,T002,Nehuén,Pérez,7/4/2005,2005,20,Forward,181,74,21,"Rua do Porto, 7, Porto",LCB,22,52
P046,T002,António,Ribeiro,11/7/1996,1996,29,Midfielder,172,89,22,"Rua do Porto, 165, Porto",LCM,50,50
P047,T002,Cláudio,Ramos,27/11/2002,2002,23,Midfielder,170,68,23,"Rua do Porto, 149, Porto",GK,5,40
